NAME,median_household_income,median_earnings,state,public use microdata area,state_fips,puma_code,puma_full_id
"Des Moines, Lee, Henry & Louisa Counties PUMA; Iowa",53085.0,31903.0,19,02300,19,02300,1902300
"Marshall, Benton, Poweshiek, Tama & Iowa Counties PUMA; Iowa",59790.0,35624.0,19,01200,19,01200,1901200
"Johnson County--Iowa City PUMA, Iowa",63062.0,30407.0,19,01100,19,01100,1901100
"Black Hawk County--Waterloo & Cedar Falls Cities PUMA, Iowa",54774.0,30568.0,19,00500,19,00500,1900500
"Scott County--Davenport City PUMA, Iowa",63876.0,37924.0,19,00900,19,00900,1900900
"Linn County--Cedar Rapids City PUMA, Iowa",67294.0,38730.0,19,01000,19,01000,1901000
"Sioux, Clay, Dickinson, O'Brien, Lyon, Emmet, Palo Alto & Osceola Counties PUMA; Iowa",62462.0,32675.0,19,00100,19,00100,1900100
"Cerro Gordo, Floyd, Kossuth, Hancock, Winnebago, Mitchell & Worth Counties PUMA; Iowa",56329.0,34617.0,19,00200,19,00200,1900200
"Coastal Maine Region--Hancock, Knox, Waldo & Lincoln Counties PUMA; Maine",58062.0,32027.0,23,00500,23,00500,2300500
"Kennebec County PUMA, Maine",55368.0,33796.0,23,00400,23,00400,2300400
"Northeast Maine--Aroostook & Washington Counties PUMA, Maine",44123.0,30076.0,23,00100,23,00100,2300100
"Northwest Maine--Oxford, Somerset, Franklin & Piscataquis Counties PUMA; Maine",47609.0,28586.0,23,00200,23,00200,2300200
"Sagadahoc & Cumberland (North) Counties--Bath City & Brunswick PUMA, Maine",73227.0,39042.0,23,00700,23,00700,2300700
"Cumberland County (Southeast)--Portland, South Portland & Westbrook Cities PUMA; Maine",64646.0,38174.0,23,01000,23,01000,2301000
"South Maine--York (West) & Cumberland (West) Counties PUMA, Maine",70712.0,38489.0,23,00800,23,00800,2300800
"Cumberland (Outside Portland) & York (East) Counties--Biddeford & Saco Cities PUMA, Maine",81636.0,41079.0,23,00900,23,00900,2300900
"Androscoggin County PUMA, Maine",55002.0,33908.0,23,00600,23,00600,2300600
"Penobscot County PUMA, Maine",52128.0,31029.0,23,00300,23,00300,2300300
"Brunswick County PUMA, North Carolina",59763.0,30983.0,37,04800,37,04800,3704800
"Davidson County PUMA, North Carolina",50448.0,32155.0,37,03500,37,03500,3703500
"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns PUMA; North Carolina",87582.0,48124.0,37,03106,37,03106,3703106
"Gaston County (Southeast)--Gastonia & Belmont Cities PUMA, North Carolina",53658.0,32803.0,37,03002,37,03002,3703002
"Gaston County (Northwest)--Mount Holly City PUMA, North Carolina",53316.0,32484.0,37,03001,37,03001,3703001
"Cabarrus County (West)--Concord, Kannapolis Cities & Harrisburg Town PUMA; North Carolina",70426.0,37467.0,37,03200,37,03200,3703200
"Robeson County (West)--Lumberton City PUMA, North Carolina",34885.0,27711.0,37,05100,37,05100,3705100
"Buncombe County (Southeast)--Asheville City PUMA, North Carolina",54206.0,31793.0,37,02201,37,02201,3702201
"Buncombe County (Northwest) PUMA, North Carolina",56348.0,31523.0,37,02202,37,02202,3702202
"Rowan County PUMA, North Carolina",51076.0,31688.0,37,03400,37,03400,3703400
"Iredell (South)--Mooresville Town & Statesville City PUMA, North Carolina",63922.0,35200.0,37,02900,37,02900,3702900
"Granville, Person & Caswell Counties PUMA; North Carolina",54839.0,33705.0,37,00400,37,00400,3700400
"South & West Albemarle Sound & Northern Outer Banks Regions PUMA, North Carolina",46662.0,27862.0,37,00800,37,00800,3700800
"Boone High Country--Watauga, Ashe, Yancey, Avery & Mitchell Counties PUMA; North Carolina",44946.0,24318.0,37,00100,37,00100,3700100
"Alamance County--Burlington City PUMA, North Carolina",51576.0,32875.0,37,01600,37,01600,3701600
"Orange County--Chapel Hill Town PUMA, North Carolina",74782.0,32461.0,37,01400,37,01400,3701400
"Winston-Salem City (South) PUMA, North Carolina",46146.0,30442.0,37,01802,37,01802,3701802
"Winston-Salem City (North) PUMA, North Carolina",47805.0,30531.0,37,01801,37,01801,3701801
"Forsyth County (Outside Winston-Salem City)--Kernersville Town & Clemmons Village PUMA, North Carolina",65539.0,38952.0,37,01803,37,01803,3701803
"Randolph County PUMA, North Carolina",48984.0,30666.0,37,03600,37,03600,3703600
"Lenoir, Onslow (North) & Jones Counties PUMA; North Carolina",46134.0,28665.0,37,04100,37,04100,3704100
"Caldwell & Alexander Counties PUMA, North Carolina",47662.0,30710.0,37,02000,37,02000,3702000
"Burke & McDowell Counties PUMA, North Carolina",44827.0,29562.0,37,02100,37,02100,3702100
"Chatham & Lee Counties PUMA, North Carolina",60128.0,32934.0,37,01500,37,01500,3701500
"Stanley & Cabarrus (East) Counties PUMA, North Carolina",62536.0,33740.0,37,03300,37,03300,3703300
"Southwest Region PUMA, Mississippi",33827.0,29446.0,28,01600,28,01600,2801600
"South Delta Region PUMA, Mississippi",31804.0,25633.0,28,00800,28,00800,2800800
"Three Rivers Region--Lafayette, Monroe, Itawamba, Chickasaw & Calhoun Counties PUMA; Mississippi",45995.0,29057.0,28,00400,28,00400,2800400
"Three Rivers Region--Lee, Pontotoc & Union Counties--Tupelo City PUMA; Mississippi",52593.0,31848.0,28,00500,28,00500,2800500
"Northeast Region--Marshall, Alcorn, Prentiss, Tippah, Tishomingo & Benton Counties PUMA; Mississippi",40260.0,28773.0,28,00200,28,00200,2800200
"Pierce County (East Central)--Puyallup City & South Hill PUMA, Washington",84533.0,42597.0,53,11506,53,11506,5311506
"Pierce County (West Central)--Lakewood City & Joint Base Lewis-McChord PUMA, Washington",63732.0,33794.0,53,11503,53,11503,5311503
"Pierce County (South Central)--Tacoma City (South), Parkland & Spanaway PUMA; Washington",63484.0,35684.0,53,11504,53,11504,5311504
"Cowlitz, Pacific & Wahkiakum Counties PUMA; Washington",56664.0,32469.0,53,11200,53,11200,5311200
"Thurston County (Outer) PUMA, Washington",84643.0,42202.0,53,11402,53,11402,5311402
"Thurston County (Central)--Olympia, Lacey & Tumwater Cities PUMA; Washington",70723.0,38960.0,53,11401,53,11401,5311401
"King County (Northwest Central)--Greater Bellevue City PUMA, Washington",130834.0,77179.0,53,11608,53,11608,5311608
"King County (Central)--Renton City, Fairwood, Bryn Mawr & Skyway PUMA; Washington",81652.0,43771.0,53,11610,53,11610,5311610
"King County (Northwest)--Redmond, Kirkland Cities, Inglewood & Finn Hill PUMA; Washington",123916.0,68771.0,53,11607,53,11607,5311607
"Seattle City (Northeast) PUMA, Washington",89419.0,41521.0,53,11602,53,11602,5311602
"Seattle City (Southeast)--Capitol Hill PUMA, Washington",99556.0,52568.0,53,11604,53,11604,5311604
"King County (Central)--Sammamish, Issaquah, Mercer Island & Newcastle Cities PUMA; Washington",154489.0,82044.0,53,11609,53,11609,5311609
"King County (Southwest Central)--Kent City PUMA, Washington",74245.0,38992.0,53,11613,53,11613,5311613
"King County (Southwest)--Auburn City & Lakeland PUMA, Washington",75929.0,39506.0,53,11614,53,11614,5311614
"King County (Southeast)--Maple Valley, Covington & Enumclaw Cities PUMA; Washington",108180.0,52425.0,53,11615,53,11615,5311615
"Seattle City (Northwest) PUMA, Washington",101336.0,62345.0,53,11601,53,11601,5311601
"Seattle City (Downtown)--Queen Anne & Magnolia PUMA, Washington",100513.0,67362.0,53,11603,53,11603,5311603
"Seattle City (West)--Duwamish & Beacon Hill PUMA, Washington",91422.0,51387.0,53,11605,53,11605,5311605
"King County (West Central)--Burien, SeaTac, Tukwila Cities & White Center PUMA; Washington",70201.0,36770.0,53,11611,53,11611,5311611
"King County (Northeast)--Snoqualmie City, Cottage Lake, Union Hill & Novelty Hill PUMA; Washington",140076.0,70170.0,53,11616,53,11616,5311616
